"business","count","processes","execute_median_ms","execute_min_ms","execute_max_ms","undo_median_ms","undo_min_ms","undo_max_ms","redo_median_ms","redo_min_ms","redo_max_ms","clear_median_ms","clear_min_ms","clear_max_ms","close_median_ms","close_min_ms","close_max_ms","checksum","metadata_bytes","retained_bytes","staging_bytes"
"create_delete1024","1000","10","31.33565","30.7571","31.9454","31.22965","30.7006","32.2498","31.05685","30.7439","31.3314","0.0297","0.0249","0.0469","0.00015","0.0001","0.0003","1574400","1605200","152000","131376"
"create_delete64","1000","10","2.32875","2.2838","2.53","2.2014","2.173","2.2511","2.20635","2.1835","2.4535","0.0291","0.0202","0.0322","0.0001","0","0.0003","6240","1605200","152000","8496"
"records64","1000","5","2.2521","2.2271","2.4064","2.1473","2.1134","2.3205","2.1502","2.1163","2.194","0.0232","0.0211","0.0323","0.0001","0.0001","0.0002","6240","1605200","152000","8368"
"records64","10000","5","22.5826","22.0807","23.1216","22.0332","21.6438","22.1608","22.0082","21.2033","22.4417","0.3258","0.3226","0.3954","0.0004","0.0002","0.0005","6240","1605200","1520000","8368"
"text256","1000","5","0.3269","0.2551","0.3292","0.1669","0.1145","0.1847","0.1127","0.1123","0.2136","0.0435","0.0409","0.046","0.0001","0.0001","0.0002","24832","1605200","224000","600"
"text256","10000","5","2.3852","2.2366","2.437","1.18","1.1593","1.2421","1.1976","1.1271","1.2214","0.4853","0.4146","0.6433","0.0002","0.0002","0.0005","24832","1605200","2240000","600"
