"pair","checksum","frames","legacy_work_wall","candidate_work_wall","legacy_wait","candidate_wait","legacy_owner_cpu","candidate_owner_cpu","legacy_process_cpu","candidate_process_cpu","legacy_work_cycles","candidate_work_cycles","legacy_wait_cycles","candidate_wait_cycles","legacy_work_polls","candidate_work_polls","legacy_wait_polls","candidate_wait_polls","legacy_close_wall","candidate_close_wall"
"1","11872603163728535614","500","0.0809926","0.0731946","4.3023084","4.3097582","0.125","0.09375","0.234375","0.234375","232925774","226831813","257768796","283938372","500","500","735120","476156","0.1055902","0.0884789"
"2","11872603163728535614","500","0.0799326","0.0831307","4.3088584","4.3116434","0.234375","0.109375","0.4375","0.25","245226461","255031338","248734009","261811969","500","500","720460","434879","0.101803","0.096484"
"3","11872603163728535614","500","0.0825665","0.0789656","4.2941247","4.3041758","0.109375","0.1875","0.34375","0.484375","251448252","244985138","250176070","274706345","500","500","733277","450263","0.1019048","0.1020243"
"4","11872603163728535614","500","0.0830068","0.0815137","4.305267","4.3132896","0.125","0.203125","0.296875","0.359375","255221041","249230651","258131817","270961255","500","500","763949","446491","0.0857199","0.0922684"
"5","11872603163728535614","500","0.0815804","0.0796391","4.2825006","4.2908678","0.1875","0.203125","0.359375","0.359375","245059658","248005987","234642629","257372304","500","500","665665","408607","0.0988398","0.0980027"
