Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
"lux::cxx::SlotMap<struct lux::simulation::script::detail::ScriptExecution::ContinuationRecord,struct lux::simulation::script::detail::ScriptExecution::ContinuationTag,unsigned int,unsigned int,class std::allocator<struct lux::simulation::script::detail::ScriptExecution::ContinuationRecord> >::find",0.015511,0.015511,0.0,0.0,lux_engine_simulation_script.dll,"lux::cxx::SlotMap<struct lux::simulation::script::detail::ScriptExecution::ContinuationRecord,struct lux::simulation::script::detail::ScriptExecution::ContinuationTag,unsigned int,unsigned int,class std::allocator<struct lux::simulation::script::detail::ScriptExecution::ContinuationRecord> >::find(struct lux::cxx::SlotKey<struct lux::simulation::script::detail::ScriptExecution::ContinuationTag,unsigned int,unsigned int>)",SlotMap.hpp,0x1800b1150
lux::simulation::script::CppStaticScriptBackend::State::releaseCoroutineSlot,0.015471,0.015471,0.0,0.0,lux_engine_simulation_script_cpp_static.dll,lux::simulation::script::CppStaticScriptBackend::State::releaseCoroutineSlot(struct lux::simulation::script::CppStaticScriptBackend::State::CoroutineContinuation &),CppStaticScriptBridge.cpp,0x180031460
lux::simulation::script::ScriptOwnedBytes::releaseSpill,0.015295,0.015295,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptOwnedBytes::releaseSpill(void),ScriptRuntime.hpp,0x18005eae0
lux::simulation::script::ScriptContinuationId::valid,0.015286,0.015286,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptContinuationId::valid,ScriptRuntime.hpp,0x180079b1a
lua_pcallk,0.015121,0.015121,0.0,0.0,lux_lua55.dll,lua_pcallk,lapi.c,0x1800027e0
``lux::simulation::script::detail::ScriptInstances::beginConstruction'::`2'::<lambda_1>::operator()'::`2'::<lambda_1>::<lambda_invoker_cdecl>,0.015119,0.015119,0.0,0.0,lux_engine_simulation_script.dll,"``lux::simulation::script::detail::ScriptInstances::beginConstruction'::`2'::<lambda_1>::operator()'::`2'::<lambda_1>::<lambda_invoker_cdecl>(const void *, struct lux::simulation::script::ScriptInstanceId, unsigned __int64, unsigned char)",ScriptInstances.cpp,0x180034e20
lux::simulation::script::detail::ScriptExecution::AwaitableStorage::find,0.015110,0.015110,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::AwaitableStorage::find,ScriptExecution.hpp,0x1800887e4
lux::simulation::script::ScriptEventWaitFactory::wait,0.015108,0.015108,0.0,0.0,native_lua_complete_tasks.exe,lux::simulation::script::ScriptEventWaitFactory::wait,ScriptRuntime.hpp,0x14004e2a1
lux::simulation::script::ScriptInvocationValidity::valid,0.015107,0.015107,0.0,0.0,lux_engine_simulation_script_lua.dll,lux::simulation::script::ScriptInvocationValidity::valid,ScriptBackend.hpp,0x1800213c1
lux::simulation::script::detail::ScriptExecution::continuationKey,0.015106,0.015106,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::continuationKey,ScriptExecution.hpp,0x1800c6713
"std::vector<lux::simulation::HookChannel<lux::simulation::SimulationBroadcastRoute,int>::Lane,std::allocator<lux::simulation::HookChannel<lux::simulation::SimulationBroadcastRoute,int>::Lane> >::size",0.015100,0.015100,0.0,0.0,native_lua_complete_tasks.exe,"std::vector<lux::simulation::HookChannel<lux::simulation::SimulationBroadcastRoute,int>::Lane,std::allocator<lux::simulation::HookChannel<lux::simulation::SimulationBroadcastRoute,int>::Lane> >::size",vector,0x140047710
std::exchange,0.015099,0.015099,0.0,0.0,lux_engine_simulation_script.dll,std::exchange,utility,0x180070818
lux::simulation::script::ScriptSystem::State::drainResumes,0.015098,0.015098,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptSystem::State::drainResumes,ScriptSystem.cpp,0x180079eca
lux::simulation::script::ScriptCoroutineSyncStep<void (int)>::operator()<int const &>,0.015097,0.015097,0.0,0.0,native_lua_complete_tasks.exe,lux::simulation::script::ScriptCoroutineSyncStep<void (int)>::operator()<int const &>(int const &),ScriptCoroutine.hpp,0x14004b3d0
